"fecha";"std";"Prof";"sitio";"Lectura_std"
"2018-05-02";"744";"p80cm";"S4";0,719
"2018-05-02";"744";"p100cm";"S4";0,673
"2018-05-09";"747";"p20cm";"S4";0,912
"2018-05-09";"747";"p40cm";"S4";1,084
"2018-05-09";"747";"p60cm";"S4";0,937
"2018-05-09";"747";"p80cm";"S4";0,701
"2018-05-09";"747";"p100cm";"S4";0,066
"2017-12-21";"672";"p20cm";"S5";0,466
"2017-12-21";"672";"p40cm";"S5";0,976
"2017-12-21";"672";"p60cm";"S5";1,167
"2017-12-21";"672";"p80cm";"S5";0,958
"2017-12-21";"672";"p100cm";"S5";0,67
"2017-12-27";"724";"p20cm";"S5";0,385
"2017-12-27";"724";"p40cm";"S5";0,809
"2017-12-27";"724";"p60cm";"S5";1,036
"2017-12-27";"724";"p80cm";"S5";0,902
"2017-12-27";"724";"p100cm";"S5";0,655
"2018-01-03";"773";"p20cm";"S5";0,586
"2018-01-03";"773";"p40cm";"S5";0,865
"2018-01-03";"773";"p60cm";"S5";0,735
"2018-01-03";"773";"p80cm";"S5";0,608
"2018-01-03";"773";"p100cm";"S5";0,613
"2018-01-10";"734";"p20cm";"S5";0,625
"2018-01-10";"734";"p40cm";"S5";0,913
"2018-01-10";"734";"p60cm";"S5";0,76
"2018-01-10";"734";"p80cm";"S5";0,545
"2018-01-10";"734";"p100cm";"S5";0,605
"2018-01-17";"748";"p20cm";"S5";0,92
"2018-01-17";"748";"p40cm";"S5";1,021
"2018-01-17";"748";"p60cm";"S5";0,841
"2018-01-17";"748";"p80cm";"S5";0,586
"2018-01-17";"748";"p100cm";"S5";0,56
"2018-01-24";"742";"p20cm";"S5";0,668
"2018-01-24";"742";"p40cm";"S5";0,949
"2018-01-24";"742";"p60cm";"S5";0,778
"2018-01-24";"742";"p80cm";"S5";0,535
"2018-01-24";"742";"p100cm";"S5";0,555
"2018-01-31";"729";"p20cm";"S5";0,734
"2018-01-31";"729";"p40cm";"S5";0,94
"2018-01-31";"729";"p60cm";"S5";0,833
"2018-01-31";"729";"p80cm";"S5";0,508
"2018-01-31";"729";"p100cm";"S5";0,492
"2018-02-07";"736";"p20cm";"S5";0,629
"2018-02-07";"736";"p40cm";"S5";0,918
"2018-02-07";"736";"p60cm";"S5";0,804
"2018-02-07";"736";"p80cm";"S5";0,485
"2018-02-07";"736";"p100cm";"S5";0,435
"2018-02-14";"726";"p20cm";"S5";0,835
"2018-02-14";"726";"p40cm";"S5";0,979
"2018-02-14";"726";"p60cm";"S5";0,817
"2018-02-14";"726";"p80cm";"S5";0,534
"2018-02-14";"726";"p100cm";"S5";0,456
"2018-02-21";"753";"p20cm";"S5";0,709
"2018-02-21";"753";"p40cm";"S5";0,904
"2018-02-21";"753";"p60cm";"S5";0,73
"2018-02-21";"753";"p80cm";"S5";0,47
"2018-02-21";"753";"p100cm";"S5";0,424
"2018-02-27";"730";"p20cm";"S5";0,707
"2018-02-27";"730";"p40cm";"S5";0,953
"2018-02-27";"730";"p60cm";"S5";0,774
"2018-02-27";"730";"p80cm";"S5";0,453
"2018-02-27";"730";"p100cm";"S5";0,437
"2018-03-07";"733";"p20cm";"S5";0,678
"2018-03-07";"733";"p40cm";"S5";0,932
"2018-03-07";"733";"p60cm";"S5";0,791
"2018-03-07";"733";"p80cm";"S5";0,469
"2018-03-07";"733";"p100cm";"S5";0,42
"2018-03-14";"735";"p20cm";"S5";0,661
"2018-03-14";"735";"p40cm";"S5";0,921
"2018-03-14";"735";"p60cm";"S5";0,731
"2018-03-14";"735";"p80cm";"S5";0,453
"2018-03-14";"735";"p100cm";"S5";0,412
"2018-03-21";"725";"p20cm";"S5";0,804
"2018-03-21";"725";"p40cm";"S5";0,981
"2018-03-21";"725";"p60cm";"S5";0,806
"2018-03-21";"725";"p80cm";"S5";0,455
"2018-03-21";"725";"p100cm";"S5";0,446
"2018-03-28";"734";"p20cm";"S5";0,796
"2018-03-28";"734";"p40cm";"S5";0,959
"2018-03-28";"734";"p60cm";"S5";0,752
"2018-03-28";"734";"p80cm";"S5";0,465
"2018-03-28";"734";"p100cm";"S5";0,458
"2018-04-04";"749";"p20cm";"S5";0,766
"2018-04-04";"749";"p40cm";"S5";0,951
"2018-04-04";"749";"p60cm";"S5";0,756
"2018-04-04";"749";"p80cm";"S5";0,462
"2018-04-04";"749";"p100cm";"S5";0,467
"2018-04-13";"748";"p20cm";"S5";0,824
"2018-04-13";"748";"p40cm";"S5";1,023
"2018-04-13";"748";"p60cm";"S5";1,02
"2018-04-13";"748";"p80cm";"S5";0,757
"2018-04-13";"748";"p100cm";"S5";0,592
"2018-04-20";"747";"p20cm";"S5";0,791
"2018-04-20";"747";"p40cm";"S5";0,992
"2018-04-20";"747";"p60cm";"S5";0,987
"2018-04-20";"747";"p80cm";"S5";0,664
"2018-04-20";"747";"p100cm";"S5";0,566
"2018-05-02";"744";"p20cm";"S5";0,823
"2018-05-02";"744";"p40cm";"S5";1,056
"2018-05-02";"744";"p60cm";"S5";1,039
"2018-05-02";"744";"p80cm";"S5";0,722
"2018-05-02";"744";"p100cm";"S5";0,575
"2018-05-09";"747";"p20cm";"S5";0,823
"2018-05-09";"747";"p40cm";"S5";1,04
"2018-05-09";"747";"p60cm";"S5";1,02
"2018-05-09";"747";"p80cm";"S5";0,728
"2018-05-09";"747";"p100cm";"S5";0,546
"2017-12-21";"672";"p20cm";"S6";0,533
"2017-12-21";"672";"p40cm";"S6";0,939
"2017-12-21";"672";"p60cm";"S6";1,137
"2017-12-21";"672";"p80cm";"S6";1,058
"2017-12-21";"672";"p100cm";"S6";0,771
"2017-12-27";"724";"p20cm";"S6";0,446
"2017-12-27";"724";"p40cm";"S6";0,822
"2017-12-27";"724";"p60cm";"S6";1,022
"2017-12-27";"724";"p80cm";"S6";1,029
"2017-12-27";"724";"p100cm";"S6";0,71
"2018-01-03";"773";"p20cm";"S6";0,56
"2018-01-03";"773";"p40cm";"S6";0,82
"2018-01-03";"773";"p60cm";"S6";0,934
"2018-01-03";"773";"p80cm";"S6";0,682
"2018-01-03";"773";"p100cm";"S6";0,589
"2018-01-10";"734";"p20cm";"S6";0,54
"2018-01-10";"734";"p40cm";"S6";0,82
"2018-01-10";"734";"p60cm";"S6";0,922
"2018-01-10";"734";"p80cm";"S6";0,703
"2018-01-10";"734";"p100cm";"S6";0,576
"2018-01-17";"748";"p20cm";"S6";0,774
"2018-01-17";"748";"p40cm";"S6";0,805
"2018-01-17";"748";"p60cm";"S6";0,889
"2018-01-17";"748";"p80cm";"S6";0,652
"2018-01-17";"748";"p100cm";"S6";0,566
"2018-01-24";"742";"p20cm";"S6";0,586
"2018-01-24";"742";"p40cm";"S6";0,934
"2018-01-24";"742";"p60cm";"S6";0,889
"2018-01-24";"742";"p80cm";"S6";0,654
"2018-01-24";"742";"p100cm";"S6";0,544
"2018-01-31";"729";"p20cm";"S6";0,652
"2018-01-31";"729";"p40cm";"S6";0,802
"2018-01-31";"729";"p60cm";"S6";0,855
"2018-01-31";"729";"p80cm";"S6";0,598
"2018-01-31";"729";"p100cm";"S6";0,51
"2018-02-07";"736";"p20cm";"S6";0,617
"2018-02-07";"736";"p40cm";"S6";0,829
"2018-02-07";"736";"p60cm";"S6";0,837
"2018-02-07";"736";"p80cm";"S6";0,587
"2018-02-07";"736";"p100cm";"S6";0,459
