"fecha";"sitio";"CEa1m";"sdCEa1m";"CEa05m";"sdCEa05m";"PromCEa"
"2018-03-07";"S12";31,91;1,25;24,37;0,82;28,14
"2018-03-14";"S1";23,16;0,65;11,74;1,55;17,45
"2018-03-14";"S2";24,4;0,45;11,45;1,49;17,93
"2018-03-14";"S3";28,97;0,86;18,35;1,01;23,66
"2018-03-14";"S4";35,94;1,19;22,37;0,74;29,16
"2018-03-14";"S5";30,42;0,85;16,17;1,02;23,3
"2018-03-14";"S6";32,57;1,45;15,85;1,16;24,21
"2018-03-14";"S7";19,12;0,98;11,18;1,13;15,15
"2018-03-14";"S8";20,21;1,05;10,23;0,56;15,22
"2018-03-14";"S9";20,52;0,54;10,47;0,49;15,5
"2018-03-14";"S10";24,53;0,71;10,57;0,66;17,55
"2018-03-14";"S11";25,93;0,74;14,37;1,58;20,15
"2018-03-14";"S12";28,95;1,21;15,4;0,73;22,18
"2018-03-21";"S1";29,99;1,1;20,82;1,37;25,41
"2018-03-21";"S2";30,55;0,84;20,36;1,15;25,46
"2018-03-21";"S3";36,29;0,41;25,74;0,87;31,02
"2018-03-21";"S4";47,3;1,51;37,34;1,8;42,32
"2018-03-21";"S5";40,73;1,31;23,69;10,2;32,21
"2018-03-21";"S6";40,44;0,51;24,44;0,75;32,44
"2018-03-21";"S7";23,42;0,56;18,71;0,92;21,07
"2018-03-21";"S8";23,71;0,87;16,17;0,35;19,94
"2018-03-21";"S9";24,41;1,18;18,1;0,61;21,26
"2018-03-21";"S10";28,12;1,99;18,84;5,39;23,48
"2018-03-21";"S11";31,2;0,39;20;0,98;25,6
"2018-03-21";"S12";32,05;2,41;20,16;1,88;26,11
"2018-03-28";"S1";27,98;0,81;26,52;1,13;27,25
"2018-03-28";"S2";28,06;0,81;26,61;1,69;27,34
"2018-03-28";"S3";33,79;0,51;32,1;0,67;32,95
"2018-03-28";"S4";44,15;0,99;42,44;1,89;43,3
"2018-03-28";"S5";36,72;1,23;33,3;1,78;35,01
"2018-03-28";"S6";36,84;0,78;29,46;0,51;33,15
"2018-03-28";"S7";19,84;0,54;19,61;0,69;19,73
"2018-03-28";"S8";21,07;0,97;19,03;0,53;20,05
"2018-03-28";"S9";22,44;0,97;21,25;0,59;21,85
"2018-03-28";"S10";25,38;0,7;21,49;1,09;23,44
"2018-03-28";"S11";27,4;0,83;23,46;0,91;25,43
"2018-03-28";"S12";30,97;0,77;25,26;0,34;28,12
"2018-04-04";"S1";27,96;1,02;24,7;1,84;26,33
"2018-04-04";"S2";27,22;1;23,38;2,35;25,3
"2018-04-04";"S3";33,45;0,69;30,18;1,46;31,82
"2018-04-04";"S4";43,97;0,94;40,5;2,39;42,24
"2018-04-04";"S5";37,16;1,32;30,51;2,65;33,84
"2018-04-04";"S6";36,15;0,75;26,04;1;31,1
"2018-04-04";"S7";19,3;0,86;16,13;0,71;17,72
"2018-04-04";"S8";20,28;0,75;15,33;0,72;17,81
"2018-04-04";"S9";20,53;0,84;16,82;0,98;18,68
"2018-04-04";"S10";24,38;0,64;17,7;1,59;21,04
"2018-04-04";"S11";26,26;0,44;20,52;0,74;23,39
"2018-04-04";"S12";29,73;0,73;23,56;0,55;26,65
"2018-04-13";"S1";33;0,72;32,51;1,82;32,76
"2018-04-13";"S2";34,14;1,19;30,76;1,55;32,45
"2018-04-13";"S3";37,65;0,65;34,92;2,45;36,29
"2018-04-13";"S4";50,72;0,91;47,59;2,24;49,16
"2018-04-13";"S5";48,61;0,66;44,89;0,86;46,75
"2018-04-13";"S6";47,53;1,33;36,5;1,93;42,02
"2018-04-13";"S7";27,54;1,15;25,92;1,14;26,73
"2018-04-13";"S8";28,53;0,95;27,04;0,99;27,79
"2018-04-13";"S9";29,33;0,64;29,05;1,26;29,19
"2018-04-13";"S10";34,06;1,41;31,48;1,17;32,77
"2018-04-13";"S11";37,89;0,54;33,79;0,9;35,84
"2018-04-13";"S12";40,62;0,44;37,06;0,77;38,84
"2018-04-20";"S1";37,58;0,9;38,49;2,2;38,04
"2018-04-20";"S2";37,86;1,23;38,07;1,43;37,97
"2018-04-20";"S3";42,01;0,44;42,1;2,02;42,06
"2018-04-20";"S4";54,69;1,16;55;3,92;54,85
"2018-04-20";"S5";53,19;1,13;47,99;3,08;50,59
"2018-04-20";"S6";51,35;1,02;42,55;1,14;46,95
"2018-04-20";"S7";29,76;1,32;31,23;2,58;30,5
"2018-04-20";"S8";32,88;0,53;33,77;0,38;33,33
"2018-04-20";"S9";34,06;0,72;36,88;1,33;35,47
"2018-04-20";"S10";38,17;1,7;37,69;2,27;37,93
"2018-04-20";"S11";42,64;0,61;42,01;0,59;42,33
"2018-04-20";"S12";45,82;0,64;44,72;1,18;45,27
"2018-05-02";"S1";34,23;1,01;32,31;1,44;33,27
"2018-05-02";"S2";35,11;1,09;31,01;1,72;33,06
"2018-05-02";"S3";38,98;1,06;34,65;1,51;36,82
"2018-05-02";"S4";52,37;0,63;48,24;0,97;50,31
"2018-05-02";"S5";50,51;1,75;44,03;3,37;47,27
"2018-05-02";"S6";49,23;0,67;37,83;0,7;43,53
"2018-05-02";"S7";30,41;1,64;26,21;1,66;28,31
"2018-05-02";"S8";31,58;0,57;28,07;0,51;29,83
"2018-05-02";"S9";32,41;0,38;30,9;0,67;31,66
"2018-05-02";"S10";38,54;1,09;32,61;2,42;35,58
"2018-05-02";"S11";40,46;0,69;35,44;1,25;37,95
"2018-05-02";"S12";43,78;0,9;37,83;1,14;40,81
"2018-05-09";"S1";34,23;1,01;32,31;1,44;33,27
"2018-05-09";"S2";35,11;1,09;31,01;1,72;33,06
"2018-05-09";"S3";38,98;1,06;34,65;1,51;36,82
"2018-05-09";"S4";52,37;0,63;48,24;0,97;50,31
"2018-05-09";"S5";50,51;1,75;44,03;3,37;47,27
"2018-05-09";"S6";49,23;0,67;37,83;0,7;43,53
"2018-05-09";"S7";30,41;1,64;26,21;1,66;28,31
"2018-05-09";"S8";31,58;0,57;28,07;0,51;29,83
"2018-05-09";"S9";32,41;0,38;30,9;0,67;31,66
"2018-05-09";"S10";38,54;1,09;32,61;2,42;35,58
"2018-05-09";"S11";40,46;0,69;35,44;1,25;37,95
"2018-05-09";"S12";43,78;0,9;37,83;1,14;40,81
